r_k,log_Re,target
126,3.675,0.588
126,3.715,0.576
126,3.76,0.566
126,3.81,0.552
126,3.833,0.564
126,3.895,0.532
126,3.925,0.515
126,3.95,0.503
126,3.965,0.498
126,4.015,0.491
126,4.111,0.471
126,4.196,0.451
126,4.265,0.435
126,4.33,0.424
126,4.386,0.415
126,4.425,0.412
126,4.47,0.4
126,4.496,0.396
126,4.511,0.4
126,4.55,0.393
126,4.62,0.392
126,4.697,0.391
126,4.76,0.4
126,4.82,0.403
126,4.91,0.408
126,4.985,0.414
126,5.057,0.422
126,5.121,0.424
126,5.164,0.43
126,5.591,0.45
126,5.616,0.453
126,5.655,0.447
126,5.675,0.45
126,5.708,0.445
126,5.736,0.452
126,5.756,0.445
126,5.775,0.445
126,5.798,0.45
126,5.831,0.45
126,5.835,0.446
126,5.874,0.45
126,5.894,0.447
126,5.935,0.45
126,5.961,0.444
126,5.97,0.449
126,5.987,0.447
126,4.95,0.43
126,5.049,0.432
126,5.021,0.415
126,5.1,0.422
126,5.13,0.422
126,5.179,0.43
126,5.196,0.43
126,5.225,0.435
126,5.225,0.43
126,5.25,0.436
126,5.274,0.438
126,5.29,0.438
126,5.31,0.436
126,5.33,0.439
126,5.35,0.439
126,5.366,0.444
126,5.393,0.444
126,5.423,0.446
126,5.432,0.447
126,5.455,0.45
126,5.476,0.452
126,5.501,0.447
126,5.525,0.447
126,5.56,0.45
30.6,3.672,0.592
30.6,3.708,0.59
30.6,3.748,0.592
30.6,3.763,0.597
30.6,3.785,0.583
30.6,3.826,0.585
30.6,3.869,0.596
30.6,3.881,0.578
30.6,3.929,0.578
30.6,3.935,0.583
30.6,3.978,0.578
30.6,4.009,0.585
30.6,4.049,0.583
30.6,4.079,0.592
30.6,4.124,0.59
30.6,4.13,0.599
30.6,4.19,0.599
30.6,4.27,0.609
30.6,4.29,0.618
30.6,4.309,0.612
30.6,4.584,0.639
30.6,4.653,0.644
30.6,4.799,0.647
30.6,4.9,0.656
30.6,4.965,0.656
30.6,5.029,0.652
30.6,5.068,0.65
30.6,5.134,0.65
30.6,5.176,0.65
30.6,4.425,0.637
30.6,4.44,0.63
30.6,4.56,0.637
30.6,4.636,0.647
30.6,4.74,0.654
30.6,4.83,0.654
30.6,4.855,0.661
30.6,4.99,0.657
30.6,5.1,0.652
30.6,5.24,0.657
30.6,5.275,0.657
30.6,5.323,0.647
30.6,5.473,0.657
30.6,5.655,0.652
30.6,4.934,0.656
30.6,5.068,0.657
30.6,5.17,0.659
30.6,5.223,0.656
30.6,5.255,0.652
30.6,5.342,0.657
30.6,5.344,0.657
30.6,5.394,0.659
30.6,5.428,0.659
30.6,5.444,0.661
30.6,5.516,0.657
30.6,5.541,0.659
30.6,5.559,0.657
30.6,5.776,0.659
30.6,5.81,0.659
30.6,5.863,0.657
30.6,5.916,0.659
30.6,5.962,0.65
30.6,6,0.659
